epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,70.1911,0.83641,0.94512,0.99769,0.16733,0.000221977,0.000221977,0.000221977
2,136.932,0.25074,0.95841,0.99884,0.12957,0.000429648,0.000429648,0.000429648
3,201.207,0.24503,0.95667,0.99942,0.11683,0.000622645,0.000622645,0.000622645
4,265.114,0.23543,0.95378,1,0.12919,0.000600967,0.000600967,0.000600967
5,330.182,0.21399,0.97054,1,0.08365,0.000578956,0.000578956,0.000578956
6,394.3,0.18997,0.96534,1,0.07287,0.000556945,0.000556945,0.000556945
7,458.834,0.16992,0.96592,1,0.08871,0.000534934,0.000534934,0.000534934
8,522.491,0.16879,0.95898,1,0.10104,0.000512923,0.000512923,0.000512923
9,586.034,0.142,0.97516,1,0.0568,0.000490912,0.000490912,0.000490912
10,649.338,0.13135,0.98614,1,0.03878,0.000468901,0.000468901,0.000468901
11,712.706,0.1233,0.98267,1,0.04452,0.00044689,0.00044689,0.00044689
12,776.194,0.12592,0.98382,1,0.04258,0.000424879,0.000424879,0.000424879
13,840.105,0.1081,0.99191,1,0.03536,0.000402868,0.000402868,0.000402868
14,903.835,0.09759,0.98614,1,0.0376,0.000380857,0.000380857,0.000380857
15,966.937,0.10231,0.98845,1,0.03664,0.000358846,0.000358846,0.000358846
16,1031.28,0.0817,0.98151,1,0.04549,0.000336835,0.000336835,0.000336835
17,1093.71,0.08261,0.98671,1,0.04113,0.000314824,0.000314824,0.000314824
18,1151.93,0.08095,0.98614,1,0.04281,0.000292813,0.000292813,0.000292813
19,1209.77,0.07601,0.98614,1,0.03212,0.000270802,0.000270802,0.000270802
20,1267.38,0.06958,0.99596,1,0.02081,0.000248791,0.000248791,0.000248791
21,1325.28,0.07227,0.99365,1,0.02119,0.00022678,0.00022678,0.00022678
22,1382.97,0.07415,0.99596,1,0.0158,0.000204769,0.000204769,0.000204769
23,1440.92,0.07599,0.99422,1,0.0206,0.000182758,0.000182758,0.000182758
24,1498.59,0.05759,0.99365,1,0.02249,0.000160747,0.000160747,0.000160747
25,1555.65,0.06004,0.99596,1,0.01512,0.000138736,0.000138736,0.000138736
26,1612.86,0.05346,0.99827,1,0.01372,0.000116725,0.000116725,0.000116725
27,1669.2,0.04879,0.99827,1,0.00857,9.4714e-05,9.4714e-05,9.4714e-05
28,1726.09,0.04594,0.99422,1,0.01486,7.2703e-05,7.2703e-05,7.2703e-05
29,1783.84,0.04046,0.99711,1,0.01154,5.0692e-05,5.0692e-05,5.0692e-05
30,1841.53,0.04491,0.99653,1,0.01324,2.8681e-05,2.8681e-05,2.8681e-05
