epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,486.52,0.69503,0.95685,1,0.11632,0.00022212,0.00022212,0.00022212
2,783.139,0.22223,0.94363,1,0.14847,0.000429786,0.000429786,0.000429786
3,1097.93,0.22282,0.96555,1,0.09118,0.000622778,0.000622778,0.000622778
4,1348.97,0.21354,0.95964,1,0.10014,0.000600967,0.000600967,0.000600967
5,1448.24,0.17204,0.97634,1,0.06037,0.000578956,0.000578956,0.000578956
6,1551.72,0.16057,0.98086,1,0.05757,0.000556945,0.000556945,0.000556945
7,1656.21,0.14988,0.98051,1,0.04744,0.000534934,0.000534934,0.000534934
8,1755.89,0.12621,0.9833,1,0.04606,0.000512923,0.000512923,0.000512923
9,1856.67,0.12405,0.9746,1,0.06945,0.000490912,0.000490912,0.000490912
10,1961.12,0.11501,0.98539,1,0.04025,0.000468901,0.000468901,0.000468901
11,2065.81,0.09463,0.98539,1,0.04299,0.00044689,0.00044689,0.00044689
12,2178.62,0.09049,0.98747,1,0.03404,0.000424879,0.000424879,0.000424879
13,2307.23,0.09336,0.97982,1,0.05295,0.000402868,0.000402868,0.000402868
14,2439.07,0.09229,0.98156,1,0.04288,0.000380857,0.000380857,0.000380857
15,2561.46,0.07872,0.98921,1,0.02659,0.000358846,0.000358846,0.000358846
16,2673.03,0.08393,0.98678,1,0.03325,0.000336835,0.000336835,0.000336835
17,2773.94,0.07488,0.98852,1,0.02741,0.000314824,0.000314824,0.000314824
18,2875.86,0.06668,0.99513,1,0.01725,0.000292813,0.000292813,0.000292813
19,2977.78,0.0646,0.99408,1,0.01663,0.000270802,0.000270802,0.000270802
20,3080.5,0.06258,0.99791,1,0.0134,0.000248791,0.000248791,0.000248791
21,3179.97,0.05968,0.99513,1,0.01323,0.00022678,0.00022678,0.00022678
22,3280.94,0.05493,0.99478,1,0.01816,0.000204769,0.000204769,0.000204769
23,3385.43,0.0511,0.99756,1,0.01349,0.000182758,0.000182758,0.000182758
24,3488.94,0.04946,0.99582,1,0.0169,0.000160747,0.000160747,0.000160747
25,3589.7,0.04568,0.99687,1,0.01237,0.000138736,0.000138736,0.000138736
26,3697.86,0.04428,0.99582,1,0.01198,0.000116725,0.000116725,0.000116725
27,3802.06,0.04036,0.99652,1,0.01258,9.4714e-05,9.4714e-05,9.4714e-05
28,3911.52,0.03778,0.99513,1,0.01591,7.2703e-05,7.2703e-05,7.2703e-05
29,4023.89,0.03671,0.99791,1,0.00986,5.0692e-05,5.0692e-05,5.0692e-05
30,4130.37,0.04083,0.99722,1,0.00891,2.8681e-05,2.8681e-05,2.8681e-05
