epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.36599,1.83636,0.8566,0.99623,0.49429,0.000220017,0.000220017,0.000220017
2,5.92927,0.57145,0.91698,1,0.29623,0.000427753,0.000427753,0.000427753
3,8.47927,0.43745,0.92453,1,0.25089,0.000620815,0.000620815,0.000620815
4,10.9793,0.42847,0.90189,1,0.30022,0.000600967,0.000600967,0.000600967
5,13.3405,0.35617,0.93208,0.99623,0.24636,0.000578956,0.000578956,0.000578956
6,15.6571,0.37877,0.95094,1,0.17945,0.000556945,0.000556945,0.000556945
7,18.1259,0.30112,0.93962,0.99623,0.17524,0.000534934,0.000534934,0.000534934
8,20.7575,0.31257,0.93585,1,0.21067,0.000512923,0.000512923,0.000512923
9,23.1079,0.26188,0.9434,1,0.26055,0.000490912,0.000490912,0.000490912
10,25.9059,0.27279,0.9434,0.99245,0.25195,0.000468901,0.000468901,0.000468901
11,28.4685,0.27757,0.9434,0.99245,0.21155,0.00044689,0.00044689,0.00044689
12,30.8243,0.21649,0.94717,1,0.18441,0.000424879,0.000424879,0.000424879
13,33.2711,0.21701,0.90566,1,0.28411,0.000402868,0.000402868,0.000402868
14,35.6483,0.18029,0.93962,1,0.15684,0.000380857,0.000380857,0.000380857
15,38.0624,0.19572,0.9283,1,0.24213,0.000358846,0.000358846,0.000358846
16,40.5111,0.18434,0.95472,1,0.19611,0.000336835,0.000336835,0.000336835
17,42.8399,0.18821,0.93962,1,0.16893,0.000314824,0.000314824,0.000314824
18,45.1325,0.17727,0.9434,1,0.17492,0.000292813,0.000292813,0.000292813
19,47.5387,0.18674,0.91321,1,0.20986,0.000270802,0.000270802,0.000270802
20,50.1011,0.15493,0.95849,1,0.12413,0.000248791,0.000248791,0.000248791
21,76.7542,0.14742,0.95094,1,0.14371,0.00022678,0.00022678,0.00022678
22,79.6614,0.13852,0.95849,1,0.12635,0.000204769,0.000204769,0.000204769
23,82.5498,0.12732,0.94717,1,0.15642,0.000182758,0.000182758,0.000182758
24,85.3791,0.12883,0.95094,1,0.16741,0.000160747,0.000160747,0.000160747
25,87.8533,0.14964,0.94717,1,0.18223,0.000138736,0.000138736,0.000138736
26,90.0736,0.12897,0.9434,1,0.15107,0.000116725,0.000116725,0.000116725
27,92.7162,0.11822,0.93962,1,0.16353,9.4714e-05,9.4714e-05,9.4714e-05
28,95.2115,0.12942,0.93962,1,0.17111,7.2703e-05,7.2703e-05,7.2703e-05
29,97.7044,0.1171,0.94717,1,0.15196,5.0692e-05,5.0692e-05,5.0692e-05
30,100.216,0.10638,0.93962,1,0.16166,2.8681e-05,2.8681e-05,2.8681e-05
