epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4501,0.61564,2.62262,2.62042,1.17558,0.00333,1,0.52256,0.35997,0.00333,1,0.55498,0.44074,0.16944,0.27843,3.06825,0.81628,0.00012,0.00012,0.00012
2,86.6298,0.31395,0.38762,2.1758,0.91769,0.00333,1,0.995,0.88009,0.00333,1,0.995,0.99093,0.32636,0.2075,3.07742,0.97316,0.00025142,0.00025142,0.00025142
3,127.387,0.3919,0.25593,1.63399,0.93557,0.00333,1,0.9934,0.90876,0.00333,1,0.9934,0.9934,0.35016,0.16819,3.03955,1.00511,0.0003736,0.0003736,0.0003736
4,168.85,0.44041,0.35426,1.3186,0.93862,0.00333,1,0.995,0.83928,0.00333,1,0.995,0.98605,0.41707,0.22814,3.02549,1.0235,0.00048654,0.00048654,0.00048654
5,209.619,0.42791,0.28446,1.08546,0.93973,0.9398,1,0.995,0.88131,0.9398,1,0.995,0.96845,0.39635,0.63413,2.44856,1.02486,0.00059024,0.00059024,0.00059024
6,249.921,0.41326,0.27924,0.96803,0.95834,0.99033,1,0.995,0.85699,0.99033,1,0.995,0.98738,0.50697,0.21598,2.35159,1.20753,0.0006847,0.0006847,0.0006847
7,290.084,0.44191,0.26444,0.9104,0.93324,0.87082,1,0.95861,0.68245,0.87082,1,0.95861,0.78886,0.61096,3.41109,2.43202,1.21569,0.00076992,0.00076992,0.00076992
8,330.373,0.40072,0.23122,0.79647,0.92146,0.94898,1,0.9918,0.90284,0.94898,1,0.9918,0.89568,0.38913,1.93382,2.3762,1.02278,0.0008459,0.0008459,0.0008459
9,370.433,0.42456,0.22167,0.78302,0.95259,0.99219,1,0.995,0.92076,0.99219,1,0.995,0.98568,0.37622,0.2591,1.83977,1.01632,0.00091264,0.00091264,0.00091264
10,410.991,0.41123,0.22743,0.70899,0.92205,0.99593,1,0.995,0.91062,0.99593,1,0.995,0.995,0.43145,0.14659,1.96323,1.08668,0.00097014,0.00097014,0.00097014
11,450.764,0.39028,0.20648,0.73124,0.92627,0.98308,1,0.995,0.94149,0.98308,1,0.995,0.995,0.38066,0.13938,2.4444,1.03797,0.0010184,0.0010184,0.0010184
12,490.321,0.41156,0.21164,0.70971,0.93367,0.99567,1,0.995,0.87923,0.99567,1,0.995,0.93521,0.4781,0.50834,1.96538,1.13554,0.00105742,0.00105742,0.00105742
13,532.862,0.3929,0.214,0.66252,0.91765,1,0.98914,0.995,0.88817,1,0.98914,0.995,0.80655,0.46032,1.40861,2.07316,1.1159,0.0010872,0.0010872,0.0010872
14,575.369,0.37913,0.17647,0.63406,0.93306,0.88152,0.93037,0.97691,0.86195,0.88152,0.93037,0.97691,0.94315,0.4751,0.29701,1.79432,1.07314,0.00110774,0.00110774,0.00110774
15,619.412,0.38134,0.19516,0.64281,0.92081,0.99033,1,0.995,0.87129,0.99033,1,0.995,0.98668,0.41874,0.13821,1.88204,0.99706,0.001076,0.001076,0.001076
16,665.301,0.38859,0.19078,0.63607,0.91884,0.99344,1,0.995,0.89445,0.99344,1,0.995,0.98122,0.46703,0.10887,1.60705,1.11765,0.00101,0.00101,0.00101
17,711.548,0.37376,0.24436,0.61334,0.92675,0.99717,1,0.995,0.91906,0.99717,1,0.995,0.99101,0.45003,0.0924,1.50284,1.09818,0.000944,0.000944,0.000944
18,757.858,0.35047,0.26776,0.5976,0.89731,0.9963,1,0.995,0.93908,0.9963,1,0.995,0.99084,0.35676,0.1011,1.26798,0.95934,0.000878,0.000878,0.000878
