epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,804.85,0.34575,0.20689,0.56416,0.89862,1,0.95359,0.9934,0.90992,0.99719,0.91667,0.95188,0.91308,0.38087,0.88274,1.33297,0.96461,0.000812,0.000812,0.000812
20,853.766,0.34196,0.2385,0.5745,0.91009,1,0.99888,0.995,0.91328,1,0.99888,0.995,0.92455,0.3597,0.75817,1.15336,0.99778,0.000746,0.000746,0.000746
21,900.438,0.28406,0.12317,1.10203,0.91052,0.99692,1,0.995,0.92538,0.99692,1,0.995,0.95837,0.40562,0.45743,1.32903,1.05131,0.00068,0.00068,0.00068
22,945.905,0.2585,0.13233,0.91347,0.89796,0.99753,1,0.995,0.93072,0.99753,1,0.995,0.98668,0.36315,0.24666,1.14068,0.94645,0.000614,0.000614,0.000614
23,991.659,0.22929,0.15845,0.89798,0.86089,0.99782,1,0.995,0.95216,0.99782,1,0.995,0.995,0.30225,0.13205,0.90102,0.89126,0.000548,0.000548,0.000548
24,1037.42,0.22688,0.10041,0.82304,0.86914,0.99784,1,0.995,0.96652,0.99784,1,0.995,0.99101,0.27185,0.1392,0.88777,0.84433,0.000482,0.000482,0.000482
25,1083.14,0.23563,0.11445,0.7975,0.89566,0.99787,1,0.995,0.96273,0.99787,1,0.995,0.99067,0.25299,0.16469,0.86413,0.8221,0.000416,0.000416,0.000416
26,1129.84,0.22805,0.09897,0.80355,0.86826,0.99775,1,0.995,0.97567,0.99775,1,0.995,0.98568,0.25809,0.18161,0.9101,0.83246,0.00035,0.00035,0.00035
27,1175.38,0.22221,0.09822,0.78245,0.84436,0.99787,1,0.995,0.97857,0.99787,1,0.995,0.9898,0.21907,0.12896,0.82652,0.81188,0.000284,0.000284,0.000284
28,1221.27,0.21497,0.09006,0.74198,0.82382,0.99786,1,0.995,0.98805,0.99786,1,0.995,0.995,0.2101,0.10551,0.78234,0.80328,0.000218,0.000218,0.000218
29,1267.25,0.20984,0.08823,0.72372,0.8433,0.99789,1,0.995,0.97502,0.99789,1,0.995,0.995,0.20483,0.09728,0.77186,0.80083,0.000152,0.000152,0.000152
30,1313.37,0.1996,0.08609,0.709,0.84813,0.99787,1,0.995,0.9893,0.99787,1,0.995,0.995,0.19577,0.09058,0.75019,0.79352,8.6e-05,8.6e-05,8.6e-05
